epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5041,4.05871,5.16989,1.80227,0,0,0,0,3.25311,5.00049,1.33142,2.085e-05,2.085e-05,2.085e-05
2,61.0749,3.94461,5.1107,1.70501,0,0,0,0,3.22864,4.9797,1.27686,4.54159e-05,4.54159e-05,4.54159e-05
3,87.0092,3.56961,4.77732,1.2932,0,0,0,0,3.38625,4.9315,1.16549,6.94864e-05,6.94864e-05,6.94864e-05
4,106.92,3.32225,4.43099,1.11356,0,0,0,0,3.30533,4.882,1.09237,9.30615e-05,9.30615e-05,9.30615e-05
5,129.163,3.087,4.0508,1.03897,0,0,0,0,3.00794,4.79094,1.0397,0.000116141,0.000116141,0.000116141
6,148.198,3.14295,3.6151,1.0354,0,0,0,0,2.88952,4.62387,1.01727,0.000138725,0.000138725,0.000138725
7,167.479,2.81929,3.05806,1.00538,0.05567,0.00383,0.0292,0.01623,2.64631,4.34635,0.98191,0.000160814,0.000160814,0.000160814
8,187.356,2.90178,2.99879,0.99857,0.05068,0.06725,0.06135,0.03287,2.5352,3.98211,0.96613,0.000182408,0.000182408,0.000182408
9,208.761,2.76857,2.79022,0.97689,0.05932,0.0918,0.09075,0.0399,2.52753,3.49862,0.95361,0.000203506,0.000203506,0.000203506
10,225.106,2.51694,2.58907,0.95916,0.0806,0.16303,0.1295,0.05932,2.41573,3.08059,0.94328,0.000224109,0.000224109,0.000224109
11,246.746,2.6432,2.53065,0.95363,0.05078,0.1768,0.12268,0.05994,2.40666,2.73683,0.93942,0.000244216,0.000244216,0.000244216
12,262.951,2.56671,2.39194,0.94239,0.29168,0.14447,0.12425,0.05574,2.55821,2.47937,0.94975,0.000263828,0.000263828,0.000263828
13,281.732,2.52704,2.22824,0.93512,0.57017,0.12927,0.14449,0.07234,2.32302,2.27413,0.93025,0.000282945,0.000282945,0.000282945
14,300.503,2.50742,2.14697,0.93242,0.51247,0.15243,0.16674,0.08447,2.20491,2.06304,0.92212,0.000301566,0.000301566,0.000301566
15,314.975,2.36267,2.04471,0.92953,0.48476,0.16058,0.1751,0.08715,2.19269,1.98867,0.9223,0.000319691,0.000319691,0.000319691
16,334.996,2.60517,2.08401,0.92622,0.51494,0.17592,0.18945,0.09429,2.22612,1.90853,0.91871,0.000337322,0.000337322,0.000337322
17,355.596,2.38548,1.85164,0.91395,0.57227,0.18476,0.19498,0.09403,2.24146,1.86987,0.91677,0.000350947,0.000350947,0.000350947
18,373.218,2.39698,1.88795,0.91013,0.51774,0.20596,0.20975,0.1089,2.10502,1.75244,0.90617,0.000346819,0.000346819,0.000346819
19,388.668,2.31665,1.78381,0.90098,0.51163,0.20803,0.21315,0.10927,2.09496,1.71909,0.90684,0.000342691,0.000342691,0.000342691
20,410.211,2.2597,1.78502,0.90296,0.52098,0.21846,0.22406,0.11102,2.08164,1.62322,0.90457,0.000338562,0.000338562,0.000338562
21,432.704,2.20949,1.69495,0.8953,0.52866,0.21913,0.23072,0.11612,2.06795,1.57478,0.90445,0.000334434,0.000334434,0.000334434
22,448.69,2.1605,1.67533,0.89569,0.52858,0.22565,0.23793,0.12285,2.05475,1.50761,0.90256,0.000330306,0.000330306,0.000330306
23,468.153,2.44996,1.76184,0.89535,0.53559,0.22538,0.24233,0.12532,2.02404,1.48712,0.89827,0.000326177,0.000326177,0.000326177
24,486.983,2.12461,1.61584,0.89397,0.54065,0.23908,0.24985,0.12741,2.0262,1.44588,0.90127,0.000322049,0.000322049,0.000322049
25,508.57,2.2794,1.65746,0.89301,0.59278,0.24515,0.2536,0.12874,2.04552,1.41536,0.90488,0.000317921,0.000317921,0.000317921
26,524.087,2.16608,1.53897,0.89031,0.54239,0.24921,0.25873,0.13029,2.1167,1.37402,0.90847,0.000313792,0.000313792,0.000313792
27,542.177,2.18384,1.49591,0.89303,0.50446,0.25414,0.26501,0.13511,2.07529,1.35332,0.90231,0.000309664,0.000309664,0.000309664
28,561.562,2.10148,1.4279,0.88326,0.52759,0.2635,0.28343,0.14494,2.00148,1.32624,0.89146,0.000305536,0.000305536,0.000305536
29,578.045,2.17065,1.47866,0.88074,0.45392,0.27367,0.29066,0.1497,1.97433,1.32418,0.88859,0.000301408,0.000301408,0.000301408
30,598.228,2.16852,1.46018,0.89081,0.44319,0.28238,0.2984,0.15244,1.95236,1.32077,0.88832,0.000297279,0.000297279,0.000297279
31,612.986,2.10228,1.40118,0.88187,0.43612,0.28775,0.3036,0.15509,1.9488,1.28727,0.88873,0.000293151,0.000293151,0.000293151
32,634.955,2.13122,1.38596,0.87811,0.43092,0.29979,0.31283,0.15199,1.97359,1.24367,0.89013,0.000289023,0.000289023,0.000289023
33,659.523,2.14694,1.48547,0.88452,0.43159,0.30337,0.31851,0.1575,1.93212,1.22762,0.8849,0.000284894,0.000284894,0.000284894
34,677.635,2.07275,1.3401,0.88366,0.44198,0.31195,0.32587,0.1699,1.87763,1.21233,0.87733,0.000280766,0.000280766,0.000280766
35,696.973,2.11472,1.34176,0.87565,0.43718,0.32024,0.32786,0.17358,1.86839,1.20926,0.87737,0.000276638,0.000276638,0.000276638
36,715.435,2.08143,1.31501,0.87645,0.4386,0.32233,0.33519,0.17504,1.88903,1.17024,0.87806,0.000272509,0.000272509,0.000272509
37,730.005,2.04696,1.28315,0.87338,0.43803,0.32512,0.33829,0.17614,1.85577,1.1485,0.87603,0.000268381,0.000268381,0.000268381
38,745.517,2.06322,1.3193,0.87846,0.44889,0.32789,0.34751,0.18325,1.81207,1.13214,0.8716,0.000264253,0.000264253,0.000264253
39,764.154,2.00368,1.27651,0.86999,0.45483,0.32635,0.35061,0.18378,1.81538,1.13008,0.87336,0.000260125,0.000260125,0.000260125
40,783.49,2.01981,1.27658,0.87187,0.41933,0.33506,0.36301,0.19188,1.83241,1.10157,0.87092,0.000255996,0.000255996,0.000255996
41,801.157,2.03065,1.26955,0.86993,0.41837,0.33838,0.36296,0.19076,1.82304,1.09399,0.86926,0.000251868,0.000251868,0.000251868
42,821.27,2.08879,1.29664,0.8671,0.47223,0.34312,0.37006,0.19408,1.7917,1.09156,0.86754,0.00024774,0.00024774,0.00024774
43,836.731,2.08449,1.28284,0.869,0.47394,0.34628,0.37365,0.19429,1.7842,1.09968,0.8675,0.000243611,0.000243611,0.000243611
44,854.973,1.96557,1.21804,0.86636,0.52782,0.34779,0.379,0.19236,1.82676,1.10326,0.87112,0.000239483,0.000239483,0.000239483
45,874.683,2.01405,1.21234,0.86985,0.49014,0.34795,0.383,0.2018,1.78875,1.09148,0.86754,0.000235355,0.000235355,0.000235355
46,886.394,1.92991,1.20401,0.86901,0.53888,0.34482,0.38787,0.2064,1.77001,1.06099,0.86512,0.000231226,0.000231226,0.000231226
47,900.655,2.01758,1.24476,0.86513,0.53374,0.34352,0.38681,0.20449,1.75519,1.05139,0.86435,0.000227098,0.000227098,0.000227098
48,918.707,1.89719,1.17416,0.86976,0.53179,0.35642,0.39581,0.20851,1.72736,1.04468,0.86139,0.00022297,0.00022297,0.00022297
49,935.204,2.09304,1.23332,0.86134,0.57716,0.35949,0.39743,0.21028,1.72748,1.05237,0.86115,0.000218842,0.000218842,0.000218842
50,953.235,1.93805,1.15845,0.8553,0.57642,0.35941,0.39604,0.20657,1.75655,1.06809,0.86341,0.000214713,0.000214713,0.000214713
51,973.673,1.99479,1.19487,0.86355,0.56588,0.362,0.39863,0.20812,1.73773,1.05591,0.8625,0.000210585,0.000210585,0.000210585
52,992.828,1.90973,1.12753,0.85913,0.54548,0.36248,0.40233,0.21164,1.75379,1.03581,0.86284,0.000206457,0.000206457,0.000206457
53,1010.43,1.93946,1.16395,0.86092,0.54509,0.36286,0.40205,0.21395,1.74652,1.02429,0.86211,0.000202328,0.000202328,0.000202328
54,1031.69,1.99402,1.15877,0.86149,0.55055,0.36632,0.4014,0.21513,1.70385,1.00442,0.85866,0.0001982,0.0001982,0.0001982
55,1047.27,1.95395,1.17325,0.86395,0.54782,0.3668,0.40127,0.21289,1.71697,1.00244,0.85914,0.000194072,0.000194072,0.000194072
56,1062.18,1.94936,1.14309,0.85824,0.55336,0.37378,0.41135,0.22065,1.68829,0.99195,0.85724,0.000189943,0.000189943,0.000189943
57,1082.76,1.98061,1.13592,0.86841,0.55435,0.38034,0.4185,0.22422,1.69231,0.99145,0.85775,0.000185815,0.000185815,0.000185815
58,1102.15,1.95294,1.12321,0.86448,0.58279,0.3861,0.42383,0.22178,1.71157,0.97494,0.85876,0.000181687,0.000181687,0.000181687
59,1118.84,1.9527,1.12639,0.8605,0.58003,0.38744,0.4238,0.2262,1.67918,0.96509,0.85699,0.000177559,0.000177559,0.000177559
60,1134.27,1.8503,1.08164,0.861,0.57659,0.38947,0.4246,0.22487,1.66676,0.95212,0.85628,0.00017343,0.00017343,0.00017343
61,1151.82,1.80593,1.12624,0.85981,0.57427,0.39296,0.42535,0.22422,1.66902,0.9523,0.85612,0.000169302,0.000169302,0.000169302
62,1167.72,1.8259,1.06959,0.85662,0.58469,0.39359,0.43116,0.22533,1.66775,0.95572,0.85601,0.000165174,0.000165174,0.000165174
63,1184.39,1.92101,1.09098,0.86155,0.58342,0.39423,0.43317,0.22883,1.66497,0.95632,0.85573,0.000161045,0.000161045,0.000161045
64,1199.39,1.88524,1.1026,0.85805,0.57435,0.39761,0.43424,0.23315,1.66139,0.95964,0.85542,0.000156917,0.000156917,0.000156917
65,1217.49,1.89996,1.14282,0.86674,0.62078,0.39847,0.46049,0.25598,1.65825,0.95682,0.85463,0.000152789,0.000152789,0.000152789
66,1234.92,1.88232,1.10506,0.85011,0.62646,0.39984,0.452,0.24595,1.65559,0.9407,0.85448,0.00014866,0.00014866,0.00014866
67,1256.2,1.98082,1.15801,0.85408,0.6184,0.40295,0.45338,0.24102,1.65634,0.93678,0.85448,0.000144532,0.000144532,0.000144532
68,1274.62,1.85399,1.06657,0.85278,0.62689,0.40065,0.45978,0.24851,1.6361,0.92263,0.85303,0.000140404,0.000140404,0.000140404
