epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,153.33,1.61848,0.97704,0.84619,0.70576,0.38519,0.42398,0.25178,1.50812,0.90793,0.83653,0.00034588,0.00034588,0.00034588
43,156.875,1.61908,0.97433,0.84429,0.76128,0.39108,0.43124,0.25688,1.49748,0.89574,0.83382,0.00034456,0.00034456,0.00034456
44,160.53,1.61921,0.95799,0.84392,0.66092,0.39949,0.43935,0.26298,1.47692,0.88001,0.83268,0.00034324,0.00034324,0.00034324
45,164.066,1.68197,0.97514,0.84299,0.69686,0.39896,0.44076,0.25771,1.46707,0.87038,0.83184,0.00034192,0.00034192,0.00034192
46,167.706,1.59208,0.953,0.84637,0.72846,0.40821,0.44401,0.26502,1.45389,0.86775,0.83106,0.0003406,0.0003406,0.0003406
47,171.285,1.55637,0.9269,0.84438,0.73283,0.41061,0.44663,0.2651,1.4695,0.86869,0.83112,0.00033928,0.00033928,0.00033928
48,174.887,1.64233,0.97354,0.84159,0.72687,0.42172,0.45148,0.26901,1.46365,0.85892,0.82951,0.00033796,0.00033796,0.00033796
49,178.391,1.62325,0.9819,0.84477,0.72584,0.42971,0.46114,0.27414,1.45008,0.85895,0.82939,0.00033664,0.00033664,0.00033664
50,181.963,1.55836,0.92245,0.84224,0.73187,0.42357,0.46436,0.26862,1.49364,0.86037,0.82998,0.00033532,0.00033532,0.00033532
51,185.451,1.57913,0.92637,0.8501,0.73006,0.43263,0.46961,0.26847,1.50297,0.83859,0.82961,0.000334,0.000334,0.000334
52,189.014,1.59658,0.94635,0.84076,0.66343,0.43343,0.45817,0.26662,1.51152,0.8357,0.8298,0.00033268,0.00033268,0.00033268
53,192.545,1.6391,0.93549,0.8497,0.72624,0.43678,0.46374,0.27829,1.4728,0.83743,0.82892,0.00033136,0.00033136,0.00033136
54,196.076,1.71185,0.92843,0.84681,0.72552,0.44926,0.48019,0.27215,1.5576,0.83569,0.83144,0.00033004,0.00033004,0.00033004
55,199.742,1.61564,0.91679,0.84555,0.7124,0.45215,0.48087,0.28404,1.45091,0.80194,0.82716,0.00032872,0.00032872,0.00032872
56,203.309,1.59248,0.88053,0.84385,0.71139,0.44679,0.47635,0.27486,1.52885,0.8237,0.83022,0.0003274,0.0003274,0.0003274
57,206.874,1.60135,0.92099,0.8434,0.71653,0.45363,0.48671,0.29377,1.38188,0.7842,0.8246,0.00032608,0.00032608,0.00032608
58,210.474,1.64997,0.91743,0.84268,0.67703,0.45594,0.48678,0.28596,1.47035,0.80579,0.82908,0.00032476,0.00032476,0.00032476
59,214.012,1.67225,0.92692,0.84085,0.65815,0.45275,0.48577,0.29094,1.43357,0.81263,0.82959,0.00032344,0.00032344,0.00032344
60,217.589,1.5253,0.86177,0.84319,0.76584,0.45746,0.49542,0.29459,1.42786,0.79177,0.82408,0.00032212,0.00032212,0.00032212
61,221.09,1.53554,0.89342,0.83992,0.74359,0.46348,0.50327,0.29419,1.43943,0.78225,0.8272,0.0003208,0.0003208,0.0003208
62,224.586,1.55881,0.90084,0.84471,0.77908,0.46167,0.50491,0.30304,1.40182,0.79622,0.82619,0.00031948,0.00031948,0.00031948
63,228.227,1.55911,0.87613,0.84071,0.77286,0.45479,0.50104,0.2925,1.46057,0.81422,0.82854,0.00031816,0.00031816,0.00031816
64,231.943,1.55912,0.86666,0.83854,0.75742,0.47717,0.50642,0.30779,1.38197,0.77956,0.82465,0.00031684,0.00031684,0.00031684
