epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.382,4.11085,5.23995,1.68977,0,0,0,0,3.26895,5.00001,1.31543,1.251e-05,1.251e-05,1.251e-05
2,33.1965,3.92292,5.13998,1.7312,0,0,0,0,3.28995,4.99967,1.33437,2.8901e-05,2.8901e-05,2.8901e-05
3,48.2965,3.9983,5.10908,1.62393,0,0,0,0,3.24698,4.98493,1.27716,4.49618e-05,4.49618e-05,4.49618e-05
4,59.7683,3.73344,4.87972,1.35779,0,0,0,0,3.29033,4.94447,1.19614,6.06923e-05,6.06923e-05,6.06923e-05
5,72.4665,3.46032,4.64131,1.15173,0,0,0,0,3.34259,4.9197,1.15231,7.60925e-05,7.60925e-05,7.60925e-05
6,86.8818,3.25105,4.3845,1.09794,0,0,0,0,3.32338,4.88704,1.11087,9.11625e-05,9.11625e-05,9.11625e-05
7,98.1936,3.22529,4.19853,1.05814,0,0,0,0,3.16075,4.84502,1.07092,0.000105902,0.000105902,0.000105902
8,113.589,3.00611,3.87407,1.0488,0,0,0,0,2.95254,4.75673,1.02997,0.000120312,0.000120312,0.000120312
9,122.751,3.04916,3.63757,1.00927,0,0,0,0,2.88003,4.63778,1.01047,0.000134391,0.000134391,0.000134391
10,134.621,2.87852,3.28244,1.00421,0.03,0.0001,0.01513,0.00556,2.80648,4.46865,0.99316,0.00014814,0.00014814,0.00014814
11,145.838,2.79107,3.05135,0.99462,0.05064,0.01451,0.02952,0.0137,2.59451,4.24496,0.9708,0.000161558,0.000161558,0.000161558
12,156.823,2.82706,3.0386,0.98448,0.0462,0.06367,0.04493,0.02254,2.56556,4.01724,0.96309,0.000174647,0.000174647,0.000174647
13,168.299,2.85417,2.89257,0.96483,0.04274,0.08406,0.06653,0.0293,2.62482,3.7723,0.96351,0.000187405,0.000187405,0.000187405
14,180.204,2.70211,2.72991,0.95893,0.04089,0.09374,0.07621,0.03536,2.58251,3.62134,0.95554,0.000199833,0.000199833,0.000199833
15,190.52,2.58456,2.61692,0.9442,0.04665,0.1421,0.10057,0.05207,2.36247,3.24201,0.93319,0.00021193,0.00021193,0.00021193
16,203.095,2.69188,2.5743,0.93777,0.04545,0.16803,0.1045,0.05499,2.31211,3.053,0.92824,0.000223698,0.000223698,0.000223698
17,211.883,2.7825,2.60498,0.95236,0.04855,0.17923,0.10627,0.05496,2.31018,2.86277,0.92697,0.000235135,0.000235135,0.000235135
18,220.568,2.60761,2.41169,0.93752,0.49554,0.13564,0.12679,0.06756,2.40642,2.556,0.93453,0.000246241,0.000246241,0.000246241
19,232.011,2.60739,2.42743,0.92338,0.6149,0.12143,0.13555,0.06853,2.43782,2.44904,0.93868,0.000257018,0.000257018,0.000257018
20,241.237,2.45086,2.26105,0.93693,0.66739,0.1284,0.14856,0.07362,2.38358,2.3379,0.93585,0.000267464,0.000267464,0.000267464
21,252.013,2.43834,2.2677,0.94627,0.50132,0.1445,0.16767,0.08565,2.21193,2.18767,0.92566,0.00027758,0.00027758,0.00027758
22,263.435,2.53815,2.16712,0.93771,0.43301,0.15767,0.17339,0.08374,2.21639,2.12325,0.92727,0.000287366,0.000287366,0.000287366
23,274.102,2.51209,2.18062,0.92879,0.4288,0.16808,0.18063,0.08514,2.19086,2.03796,0.92222,0.000296821,0.000296821,0.000296821
24,284.056,2.62196,2.13618,0.92326,0.3806,0.18104,0.18881,0.08877,2.16109,1.95491,0.91482,0.000305947,0.000305947,0.000305947
25,296.77,2.50017,2.03044,0.91126,0.43713,0.18435,0.19323,0.09248,2.20865,1.88992,0.91354,0.000314742,0.000314742,0.000314742
26,308.751,2.37431,1.99862,0.91518,0.51193,0.20185,0.19632,0.0933,2.28048,1.83885,0.91606,0.000313792,0.000313792,0.000313792
27,319.18,2.44705,1.99499,0.90289,0.50078,0.20567,0.19471,0.0936,2.26257,1.78073,0.91468,0.000309664,0.000309664,0.000309664
28,327.746,2.49161,1.98568,0.91397,0.51082,0.21185,0.19964,0.09935,2.16674,1.72354,0.90901,0.000305536,0.000305536,0.000305536
29,339.304,2.4346,2.47898,0.93878,0.47798,0.21592,0.21121,0.10742,2.08631,1.66571,0.90399,0.000301408,0.000301408,0.000301408
30,350.967,2.34613,1.90021,0.89714,0.51529,0.21096,0.2133,0.1125,2.05078,1.63805,0.90201,0.000297279,0.000297279,0.000297279
31,362.969,2.12254,1.71802,0.89653,0.50901,0.20454,0.21552,0.1121,2.051,1.60929,0.90353,0.000293151,0.000293151,0.000293151
32,373.321,2.34764,1.9127,0.90572,0.50879,0.19798,0.21864,0.11354,2.04532,1.58258,0.90282,0.000289023,0.000289023,0.000289023
33,384.635,2.29732,1.84848,0.89576,0.51219,0.19815,0.225,0.11948,2.02975,1.55362,0.89966,0.000284894,0.000284894,0.000284894
34,394.793,2.51065,1.84137,0.89181,0.51704,0.20694,0.22984,0.12269,2.06169,1.53528,0.89714,0.000280766,0.000280766,0.000280766
35,405.64,2.29439,1.75111,0.8836,0.51773,0.21025,0.23537,0.12372,2.08105,1.51528,0.89458,0.000276638,0.000276638,0.000276638
36,415.245,2.21599,1.67301,0.88778,0.47149,0.21912,0.24292,0.12588,2.04774,1.4793,0.89252,0.000272509,0.000272509,0.000272509
37,424.668,2.32697,1.67911,0.89574,0.47045,0.22625,0.24622,0.13137,1.98976,1.43482,0.89006,0.000268381,0.000268381,0.000268381
38,436.825,2.19771,1.61241,0.88247,0.48695,0.22763,0.25148,0.13859,1.95752,1.39836,0.88964,0.000264253,0.000264253,0.000264253
39,445.259,2.10555,1.57453,0.87606,0.48008,0.23069,0.25527,0.14027,1.95314,1.36895,0.89104,0.000260125,0.000260125,0.000260125
40,456.021,2.13945,1.58932,0.88812,0.47247,0.24401,0.25661,0.13864,1.96502,1.35302,0.89486,0.000255996,0.000255996,0.000255996
41,466.869,2.10582,1.57554,0.88006,0.53379,0.23904,0.2597,0.13868,1.96951,1.35216,0.89874,0.000251868,0.000251868,0.000251868
42,476.049,2.21545,1.54183,0.89015,0.53993,0.24219,0.26441,0.14324,1.93965,1.3401,0.89642,0.00024774,0.00024774,0.00024774
43,485.868,2.27916,1.62586,0.89,0.49911,0.23754,0.26726,0.15052,1.9011,1.31901,0.88867,0.000243611,0.000243611,0.000243611
44,496.937,2.15498,1.54007,0.89888,0.44742,0.24906,0.26977,0.15026,1.90047,1.30682,0.88394,0.000239483,0.000239483,0.000239483
45,505.261,2.02985,1.56694,0.87567,0.44696,0.25398,0.26959,0.15016,1.89958,1.29556,0.882,0.000235355,0.000235355,0.000235355
46,515.756,2.1999,1.59608,0.8771,0.45036,0.25937,0.27672,0.15218,1.89886,1.27912,0.88147,0.000231226,0.000231226,0.000231226
47,526.841,2.0014,1.54934,0.87371,0.45386,0.26427,0.28578,0.15738,1.86601,1.26516,0.87863,0.000227098,0.000227098,0.000227098
48,535.854,2.08242,1.45352,0.87865,0.45849,0.27485,0.29074,0.16148,1.84176,1.25805,0.87652,0.00022297,0.00022297,0.00022297
49,544.578,2.16117,1.5047,0.87111,0.46088,0.28217,0.29571,0.16141,1.85614,1.26273,0.87861,0.000218842,0.000218842,0.000218842
50,557.012,2.07117,1.4575,0.87387,0.46405,0.28733,0.30106,0.16103,1.85787,1.26335,0.881,0.000214713,0.000214713,0.000214713
51,567.809,2.15464,1.51376,0.87851,0.41823,0.2881,0.30845,0.16487,1.84688,1.25284,0.87897,0.000210585,0.000210585,0.000210585
52,579.149,2.133,1.45057,0.87537,0.40883,0.28836,0.31273,0.1685,1.84596,1.23357,0.87789,0.000206457,0.000206457,0.000206457
53,592.106,2.03366,1.39103,0.88145,0.40972,0.28618,0.31553,0.16978,1.84579,1.21017,0.87617,0.000202328,0.000202328,0.000202328
54,606.282,2.06054,1.38133,0.87696,0.40004,0.28509,0.3158,0.16862,1.82529,1.19889,0.8737,0.0001982,0.0001982,0.0001982
55,618.025,1.9966,1.3796,0.86627,0.4084,0.28673,0.31812,0.16886,1.82503,1.18679,0.87213,0.000194072,0.000194072,0.000194072
56,627.285,2.05394,1.35338,0.87146,0.40798,0.29225,0.32181,0.17029,1.82375,1.17998,0.87193,0.000189943,0.000189943,0.000189943
57,638.331,1.99363,1.28815,0.86739,0.41321,0.29691,0.32751,0.1714,1.82468,1.17311,0.87252,0.000185815,0.000185815,0.000185815
58,647.452,1.97549,1.33328,0.86586,0.42136,0.30249,0.33119,0.17289,1.84806,1.16414,0.87445,0.000181687,0.000181687,0.000181687
