epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8556,4.24664,5.54031,1.60128,0,0,0,0,3.32226,4.98923,1.24328,1.251e-05,1.251e-05,1.251e-05
2,32.7054,4.07759,5.33518,1.63683,0,0,0,0,3.37877,4.99311,1.27023,2.88288e-05,2.88288e-05,2.88288e-05
3,48.6281,4.06315,5.34666,1.54699,0,0,0,0,3.24151,4.98581,1.22403,4.47347e-05,4.47347e-05,4.47347e-05
4,60.1274,3.7954,5.07744,1.31143,0,0,0,0,3.12472,4.96539,1.146,6.02278e-05,6.02278e-05,6.02278e-05
5,72.3037,3.54664,4.82614,1.1383,0,0,0,0,3.20906,4.93461,1.1185,7.53081e-05,7.53081e-05,7.53081e-05
6,86.3554,3.36494,4.60809,1.09457,0,0,0,0,3.38654,4.90185,1.10231,8.99756e-05,8.99756e-05,8.99756e-05
7,97.5886,3.35059,4.42928,1.05002,0,0,0,0,3.4663,4.8636,1.08637,0.00010423,0.00010423,0.00010423
8,112.709,3.27891,4.16119,1.04902,0,0,0,0,3.30305,4.81427,1.04944,0.000118072,0.000118072,0.000118072
9,122.321,3.22362,3.93,0.98949,0,0,0,0,3.10539,4.74001,1.02519,0.000131501,0.000131501,0.000131501
10,134.133,3.17938,3.603,1.01173,0,0,0,0,2.99949,4.62429,1.0076,0.000144517,0.000144517,0.000144517
11,145.41,3.01528,3.41383,0.99127,0.06611,0.00628,0.03508,0.01773,2.87523,4.46266,0.99099,0.00015712,0.00015712,0.00015712
12,156.31,3.02249,3.30484,0.97533,0.07325,0.0403,0.05517,0.03023,2.83232,4.2771,0.97912,0.000169311,0.000169311,0.000169311
13,167.168,3.04727,3.25625,0.9662,0.05027,0.06466,0.06127,0.03182,2.87781,4.07245,0.97437,0.000181089,0.000181089,0.000181089
14,179.31,2.9796,3.02405,0.95164,0.04771,0.07254,0.06934,0.03664,2.8532,3.94188,0.97069,0.000192453,0.000192453,0.000192453
15,189.378,2.88267,2.86338,0.94908,0.0698,0.13599,0.10583,0.05304,2.71108,3.60392,0.95791,0.000203405,0.000203405,0.000203405
16,201.237,2.90404,2.79997,0.92575,0.07346,0.18432,0.12646,0.06409,2.59372,3.424,0.95026,0.000213944,0.000213944,0.000213944
17,209.742,3.0125,2.86996,0.94986,0.06824,0.208,0.13719,0.06778,2.53778,3.26162,0.94589,0.000224071,0.000224071,0.000224071
18,218.098,2.91425,2.58709,0.93513,0.05946,0.22775,0.15409,0.07727,2.51636,2.93881,0.93799,0.000233784,0.000233784,0.000233784
19,229.695,2.86152,2.68522,0.91531,0.05943,0.24047,0.16493,0.08509,2.52802,2.80061,0.93451,0.000243085,0.000243085,0.000243085
20,240.06,2.64203,2.31276,0.93391,0.64041,0.22631,0.16759,0.08577,2.54143,2.69797,0.93586,0.000251973,0.000251973,0.000251973
21,250.24,2.65013,2.31735,0.92352,0.7961,0.11676,0.17514,0.09016,2.47144,2.55064,0.93487,0.000260448,0.000260448,0.000260448
