epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3799,6.90528,57.7041,4.25986,0,0,0,0,7.14589,145.218,4.15986,1.667e-05,1.667e-05,1.667e-05
2,78.1221,6.85533,56.5912,4.33303,0,0,0,0,7.14603,145.427,4.16082,4.75345e-05,4.75345e-05,4.75345e-05
3,116.333,6.02516,73.9496,3.69155,0,0,0,0,7.14619,145.749,4.16197,7.50984e-05,7.50984e-05,7.50984e-05
4,154.075,6.89665,51.3647,4.1254,0,0,0,0,7.14641,146.121,4.16346,9.93615e-05,9.93615e-05,9.93615e-05
5,193.166,6.60919,86.0307,4.09557,0,0,0,0,7.1467,146.721,4.16544,0.000120324,0.000120324,0.000120324
6,230.901,6.6692,77.4251,3.85128,0,0,0,0,7.14709,147.539,4.1681,0.000137986,0.000137986,0.000137986
7,269.872,6.80679,61.528,4.01056,0,0,0,0,7.14763,148.723,4.17172,0.000152347,0.000152347,0.000152347
8,309.524,5.99763,54.5479,3.36184,0,0,0,0,7.1483,150.238,4.17634,0.000163408,0.000163408,0.000163408
9,351.206,6.76484,57.2213,3.83913,0,0,0,0,7.14869,151.134,4.17912,0.000171168,0.000171168,0.000171168
10,394.31,6.63834,66.2064,3.7141,0,0,0,0,7.14947,152.996,4.18456,0.000175627,0.000175627,0.000175627
11,435.187,4.26413,94.7946,2.55482,0,0,0,0,7.15029,154.99,4.1904,0.000176785,0.000176785,0.000176785
12,472.66,4.89684,71.4529,2.471,0,0,0,0,7.15119,157.203,4.19685,0.000174643,0.000174643,0.000174643
13,511.47,6.46764,84.0394,3.40667,0,0,0,0,7.15213,159.631,4.20369,0.000169201,0.000169201,0.000169201
14,550.015,6.57812,53.7912,3.36986,0,0,0,0,7.15314,162.211,4.21108,0.000160457,0.000160457,0.000160457
15,587.634,6.68257,84.0547,3.27392,0,0,0,0,7.15416,164.938,4.21872,0.000148413,0.000148413,0.000148413
16,628.074,4.65573,61.6126,2.61727,0,0,0,0,7.15522,167.824,4.22683,0.000133068,0.000133068,0.000133068
17,664.458,6.42579,64.6312,3.15506,0,0,0,0,7.15626,170.723,4.23478,0.000114423,0.000114423,0.000114423
18,703.311,6.67345,65.7276,3.29821,0,0,0,0,7.15725,173.523,4.24247,9.24768e-05,9.24768e-05,9.24768e-05
19,744.659,6.13091,35.5649,3.15166,0,0,0,0,7.15822,176.347,4.25011,6.72301e-05,6.72301e-05,6.72301e-05
20,788.442,6.57062,64.5238,3.26378,0,0,0,0,7.15913,179.092,4.25726,3.86827e-05,3.86827e-05,3.86827e-05
