epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.2595,2.36469,5.92608,1.18854,0.00276,0.42262,0.00231,0.00101,1.90046,4.91007,0.97074,0.00013336,0.00013336,0.00013336
2,165.222,1.55476,3.74428,0.94686,0.00677,1,0.00801,0.00477,1.38288,4.47584,0.88851,0.000269362,0.000269362,0.000269362
3,258.281,1.43059,2.63872,0.90428,0.00257,0.37082,0.00183,0.00124,1.16659,4.36636,0.87266,0.000390511,0.000390511,0.000390511
4,354.265,1.32885,1.90054,0.88858,0.00527,0.77504,0.00486,0.00311,1.15288,4.18347,0.85028,0.000496808,0.000496808,0.000496808
5,445.762,1.25421,1.82568,0.88559,0.00109,0.13412,0.02593,0.01994,1.05702,3.83124,0.84059,0.000588251,0.000588251,0.000588251
6,527.157,1.05983,1.64882,0.85489,0.00434,0.64195,0.10188,0.0704,1.04288,3.65604,0.82987,0.000664841,0.000664841,0.000664841
7,613.903,1.13367,1.47985,0.85874,0.00679,0.9881,0.88141,0.52439,1.10874,3.26047,0.82858,0.000726579,0.000726579,0.000726579
8,704.135,1.05712,1.43016,0.87314,0.96104,0.97222,0.98941,0.69118,1.00202,2.92086,0.81696,0.000773463,0.000773463,0.000773463
9,798.31,1.07367,1.34939,0.8567,0.00716,1,0.98993,0.72832,0.95922,2.84667,0.81388,0.000805494,0.000805494,0.000805494
10,888.895,1.00377,1.29937,0.86642,1,0.09797,0.995,0.71864,1.044,2.53545,0.83062,0.000822673,0.000822673,0.000822673
11,956.804,1.09106,2.11792,0.85522,1,0.07642,0.995,0.71465,0.9905,2.67289,0.82737,0.000824998,0.000824998,0.000824998
12,1033.03,0.94182,2.01471,0.82597,1,0.96294,0.995,0.74782,0.93712,2.13719,0.80057,0.000759318,0.000759318,0.000759318
13,1118.29,0.97499,2.02632,0.85425,0.97054,0.99024,0.99116,0.76256,0.87399,1.67613,0.7975,0.000676802,0.000676802,0.000676802
14,1209.58,0.96811,2.00704,0.84234,0.96638,0.9988,0.99197,0.76689,0.87714,1.558,0.79101,0.000594286,0.000594286,0.000594286
15,1300.1,0.97194,1.75561,0.84293,0.99658,0.99956,0.995,0.75793,0.87939,1.2842,0.78985,0.000511769,0.000511769,0.000511769
16,1371.23,0.94246,1.79953,0.82683,0.99548,1,0.995,0.77961,0.81096,1.21336,0.78424,0.000429253,0.000429253,0.000429253
17,1438.58,0.88764,1.52324,0.83519,0.9976,1,0.995,0.78083,0.772,1.01397,0.77948,0.000346736,0.000346736,0.000346736
18,1509.55,0.88521,1.44778,0.8191,0.99924,1,0.995,0.78491,0.7664,0.96961,0.77882,0.00026422,0.00026422,0.00026422
19,1577.47,0.91311,1.40188,0.84962,0.99908,1,0.995,0.78552,0.76798,0.97084,0.77879,0.000181703,0.000181703,0.000181703
20,1646.45,0.88063,1.46305,0.82049,0.9985,1,0.995,0.79154,0.74719,0.9306,0.77714,9.91865e-05,9.91865e-05,9.91865e-05
