epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3829,2.68364,6.22428,1.36707,0,0,0,0,2.25249,5.33414,1.12189,1.667e-05,1.667e-05,1.667e-05
2,75.1945,2.84842,6.55903,1.43195,0,0,0,0,2.11643,5.18166,1.07073,4.75345e-05,4.75345e-05,4.75345e-05
3,118.179,2.77903,6.2727,1.31632,0.0003,0.03704,0.00016,5e-05,2.04071,5.07897,1.04106,7.50984e-05,7.50984e-05,7.50984e-05
4,155.706,1.94659,5.05612,1.02222,0.00129,0.17311,0.00079,0.0003,1.8866,4.97186,1.00714,9.93615e-05,9.93615e-05,9.93615e-05
5,192.941,1.8584,4.86192,1.0082,0.00377,0.59823,0.00325,0.00164,1.76881,4.85797,0.989,0.000120324,0.000120324,0.000120324
6,229.32,1.7628,4.5756,0.98562,0.00578,0.87037,0.0061,0.0029,1.5701,4.67368,0.963,0.000137986,0.000137986,0.000137986
7,266.576,1.49608,3.7011,0.9122,0.00577,0.87037,0.00644,0.00303,1.43201,4.57531,0.93988,0.000152347,0.000152347,0.000152347
8,303.056,1.6949,3.672,0.93597,0.00674,1,0.00789,0.00351,1.25025,4.45889,0.90959,0.000163408,0.000163408,0.000163408
9,339.269,1.44164,3.30784,0.89605,0.0067,1,0.00804,0.00355,1.23918,4.40735,0.90626,0.000171168,0.000171168,0.000171168
10,375.849,1.56128,3.83045,0.93765,0.00669,1,0.00814,0.00377,1.2339,4.34317,0.90443,0.000175627,0.000175627,0.000175627
11,413.335,1.52907,4.95828,0.91823,0.00667,1,0.00808,0.00408,1.21891,4.3079,0.90177,0.000176785,0.000176785,0.000176785
12,451.544,1.39888,4.45602,0.87808,0.00666,1,0.00782,0.00439,1.18893,4.27903,0.89988,0.000174643,0.000174643,0.000174643
13,488.923,1.27725,4.27805,0.8739,0.00666,1,0.00749,0.00452,1.15911,4.26961,0.89663,0.000169201,0.000169201,0.000169201
14,525.568,1.38034,3.93974,0.90304,0.00666,1,0.00722,0.00445,1.11581,4.24794,0.88715,0.000160457,0.000160457,0.000160457
15,563.841,1.35643,3.87704,0.92456,0.00639,0.95974,0.0067,0.00426,1.08375,4.24505,0.88169,0.000148413,0.000148413,0.000148413
16,600.14,1.13297,5.92486,0.91145,0.00545,0.81401,0.00508,0.0033,1.02224,4.24486,0.87565,0.000133068,0.000133068,0.000133068
17,637.101,1.40078,3.91681,0.93416,0.00398,0.5942,0.00323,0.00205,1.00078,4.24291,0.87521,0.000114423,0.000114423,0.000114423
18,674.19,1.21058,3.88387,0.84711,0.00186,0.27858,0.00119,0.00069,1.00325,4.22791,0.87508,9.24768e-05,9.24768e-05,9.24768e-05
19,710.32,1.41635,3.13309,0.94495,0.00066,0.09903,0.00036,0.00021,1.01027,4.20791,0.87572,6.72301e-05,6.72301e-05,6.72301e-05
20,747.292,1.40392,4.52594,0.88625,0.00066,0.09903,0.00036,0.00021,1.01232,4.17744,0.87465,3.86827e-05,3.86827e-05,3.86827e-05
