epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.61814,2.68699,7.53127,1.32184,0,0,0,0,3.29456,4.97454,1.25548,2.502e-05,2.502e-05,2.502e-05
2,7.66917,2.49117,7.4012,1.25923,0,0,0,0,3.26458,4.95808,1.27767,5.15266e-05,5.15266e-05,5.15266e-05
3,10.8522,1.87309,5.98128,0.98277,0,0,0,0,3.21623,4.94567,1.27909,7.51434e-05,7.51434e-05,7.51434e-05
4,13.846,1.703,5.48741,0.9406,0,0,0,0,3.25274,4.91514,1.31502,9.58704e-05,9.58704e-05,9.58704e-05
5,16.9479,1.54936,4.621,0.89881,0.05,0.02083,0.03542,0.0245,3.31071,4.81055,1.34089,0.000113708,0.000113708,0.000113708
6,20.0302,1.43429,3.80718,0.88736,0.048,0.05,0.04975,0.03375,3.21853,4.70662,1.31762,0.000128655,0.000128655,0.000128655
7,23.304,1.40707,3.00116,0.8774,0.07812,0.09091,0.07674,0.05446,3.04271,4.49357,1.29895,0.000140712,0.000140712,0.000140712
8,26.3805,1.25985,2.46808,0.88703,0.07115,0.09773,0.08504,0.06091,3.09828,4.39751,1.31606,0.00014988,0.00014988,0.00014988
9,29.5867,1.17826,2.38537,0.88203,0.06577,0.1,0.09568,0.07173,3.30383,4.3712,1.37667,0.000156158,0.000156158,0.000156158
10,32.6898,1.23472,2.32328,0.87383,0.05358,0.1,0.09855,0.0731,3.41878,4.35312,1.39975,0.000159546,0.000159546,0.000159546
11,42.7957,1.24386,4.11686,0.87268,0.04374,0.1,0.09908,0.07377,3.44722,4.31162,1.41337,0.000160045,0.000160045,0.000160045
12,45.8054,1.13172,3.24176,0.88687,0.03503,0.1,0.09926,0.07682,3.37765,4.24579,1.39179,0.000157653,0.000157653,0.000157653
13,48.7399,1.16848,3.56445,0.86633,0.03117,0.1,0.0995,0.07732,3.36532,4.18901,1.38505,0.000152372,0.000152372,0.000152372
14,51.7467,1.14051,3.35434,0.85386,0.2,0.09789,0.0995,0.07723,3.34771,4.08092,1.37474,0.000144201,0.000144201,0.000144201
15,54.6676,1.10398,3.1121,0.85472,0.25,0.0954,0.0995,0.0781,3.33124,4.03508,1.36634,0.000128019,0.000128019,0.000128019
16,57.6364,1.1131,2.75069,0.84675,0.25,0.07866,0.0995,0.07881,3.30418,3.97843,1.36137,0.000107378,0.000107378,0.000107378
17,60.4787,1.07179,2.59222,0.8619,0.3,0.08533,0.0995,0.07852,3.30241,3.94664,1.36147,8.6736e-05,8.6736e-05,8.6736e-05
18,63.4616,1.01016,2.33148,0.85545,0.4,0.09731,0.0995,0.07823,3.31756,3.8624,1.36862,6.60945e-05,6.60945e-05,6.60945e-05
19,66.4614,1.08058,2.94802,0.86547,0.39918,0.1,0.0995,0.07909,3.3059,3.75569,1.36881,4.5453e-05,4.5453e-05,4.5453e-05
20,69.3835,0.99906,2.31419,0.84741,0.39948,0.09964,0.0995,0.08002,3.28192,3.68033,1.36399,2.48115e-05,2.48115e-05,2.48115e-05
