epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.16372,2.95512,7.38361,1.41487,0,0,0,0,3.40977,4.74099,1.22958,5e-05,5e-05,5e-05
2,13.2749,2.33915,6.25484,1.18122,0,0,0,0,3.25833,4.691,1.22019,0.000100991,0.000100991,0.000100991
3,17.6059,1.89425,4.9868,0.97151,0,0,0,0,3.26988,4.64226,1.27173,0.000146413,0.000146413,0.000146413
4,21.9438,1.65894,3.96491,0.93043,0,0,0,0,3.1972,4.54128,1.26117,0.000186266,0.000186266,0.000186266
5,26.5407,1.28651,2.72342,0.87681,0.0007,0.02083,0.02068,0.01655,3.12469,4.43444,1.23055,0.00022055,0.00022055,0.00022055
6,31.4924,1.38164,2.49329,0.91386,0.00228,0.0625,0.0449,0.03177,2.99814,4.52716,1.15433,0.000249266,0.000249266,0.000249266
7,35.917,1.34539,2.1849,0.89182,0.0098,0.16667,0.16583,0.13384,3.10015,4.47479,1.09013,0.000272412,0.000272412,0.000272412
8,40.8348,1.34277,2.17019,0.87752,0.01165,0.16667,0.16583,0.13483,3.04624,4.46055,1.01311,0.000289991,0.000289991,0.000289991
9,45.9264,1.42434,2.11652,0.87577,0.009,0.16667,0.16583,0.13119,3.1015,4.28505,0.98198,0.000302,0.000302,0.000302
10,50.5459,1.34313,1.97658,0.87738,0.00923,0.16667,0.16583,0.12352,3.26438,4.14122,0.9658,0.000308441,0.000308441,0.000308441
11,106.418,1.37978,2.9736,0.87007,0.91667,0.13461,0.16583,0.11967,3.28865,3.90448,0.95303,0.000309313,0.000309313,0.000309313
12,112.025,1.40304,2.66839,0.86776,0.99101,0.16667,0.17669,0.14555,3.11958,3.68112,0.95201,0.000284688,0.000284688,0.000284688
13,117.817,1.36592,2.84858,0.88531,0.91017,0.16667,0.18594,0.14544,3.00234,3.57682,0.94611,0.00025375,0.00025375,0.00025375
14,123.587,1.20959,2.673,0.83641,0.89972,0.16667,0.18409,0.1414,2.8677,3.48611,0.93709,0.000222813,0.000222813,0.000222813
15,129.032,1.25134,2.42444,0.84245,0.91162,0.16396,0.18943,0.13373,2.87339,3.4339,0.94317,0.000191875,0.000191875,0.000191875
16,134.611,1.28924,2.51983,0.85252,0.82741,0.16667,0.18779,0.14206,2.76142,3.37555,0.93757,0.000160938,0.000160938,0.000160938
17,139.402,1.39862,2.6544,0.84731,0.83068,0.16667,0.19328,0.15181,2.6738,3.32791,0.92946,0.00013,0.00013,0.00013
18,144.25,1.19364,2.16214,0.83933,0.82682,0.16667,0.19711,0.15548,2.64301,3.27905,0.92494,9.90625e-05,9.90625e-05,9.90625e-05
19,148.669,1.22894,2.48094,0.845,0.8228,0.16667,0.19755,0.14827,2.62067,3.23322,0.92347,6.8125e-05,6.8125e-05,6.8125e-05
20,153.473,1.27114,2.38521,0.85513,0.73955,0.16667,0.19712,0.14869,2.58444,3.20259,0.92348,3.71875e-05,3.71875e-05,3.71875e-05
