"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "CSS", "JavaScript JSX", "YAML", "JSON with Comments", "Python", "HTML", "comment", "blank", "total"
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z6.json", "JSON", 428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 428
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z7.json", "JSON", 475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 475
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z8.json", "JSON", 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 388
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z9.json", "JSON", 528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 528
"c:\Users\VICTUS\Documents\OMR project\api\json\staff_lines.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\VICTUS\Documents\OMR project\api\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 43, 61, 237
"c:\Users\VICTUS\Documents\OMR project\api\normalize.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 5, 21
"c:\Users\VICTUS\Documents\OMR project\api\play_sound.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 16, 31, 128
"c:\Users\VICTUS\Documents\OMR project\client\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\VICTUS\Documents\OMR project\client\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\VICTUS\Documents\OMR project\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\VICTUS\Documents\OMR project\client\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\VICTUS\Documents\OMR project\client\package-lock.json", "JSON", 5352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5353
"c:\Users\VICTUS\Documents\OMR project\client\package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\VICTUS\Documents\OMR project\client\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\VICTUS\Documents\OMR project\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\VICTUS\Documents\OMR project\client\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\VICTUS\Documents\OMR project\client\src\config\constants.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\VICTUS\Documents\OMR project\client\src\layouts\EditLayout\EditLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 630, 0, 0, 0, 0, 88, 156, 874
"c:\Users\VICTUS\Documents\OMR project\client\src\layouts\EditLayout\components\ConfirmDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\VICTUS\Documents\OMR project\client\src\layouts\ExtractLayout\ExtractLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 5, 29, 136
"c:\Users\VICTUS\Documents\OMR project\client\src\layouts\ExtractLayout\components\ImageCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 1, 7, 48
"c:\Users\VICTUS\Documents\OMR project\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\VICTUS\Documents\OMR project\client\src\style.css", "CSS", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\VICTUS\Documents\OMR project\client\vite.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\VICTUS\Documents\OMR project\model_training\expand.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 10, 45
"c:\Users\VICTUS\Documents\OMR project\model_training\main.ipynb", "JSON", 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 400
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train14\args.yaml", "YAML", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 1, 107
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train14\weights\best.pt", "XML", 0, 0, 0, 38943, 0, 0, 0, 0, 0, 0, 0, 189, 39132
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train14\weights\last.pt", "XML", 0, 0, 0, 38943, 0, 0, 0, 0, 0, 0, 0, 189, 39132
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train16\args.yaml", "YAML", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 1, 107
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train16\weights\best.pt", "XML", 0, 0, 0, 38525, 0, 0, 0, 0, 0, 0, 0, 129, 38654
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train16\weights\last.pt", "XML", 0, 0, 0, 38898, 0, 0, 0, 0, 0, 0, 0, 149, 39047
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train2\args.yaml", "YAML", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 1, 107
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train3\args.yaml", "YAML", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 1, 107
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train3\weights\best.pt", "XML", 0, 0, 0, 37984, 0, 0, 0, 0, 0, 0, 0, 160, 38144
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train3\weights\last.pt", "XML", 0, 0, 0, 37984, 0, 0, 0, 0, 0, 0, 0, 160, 38144
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train4\args.yaml", "YAML", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 1, 107
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train4\weights\best.pt", "XML", 0, 0, 0, 38030, 0, 0, 0, 0, 0, 0, 0, 132, 38162
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train4\weights\last.pt", "XML", 0, 0, 0, 38030, 0, 0, 0, 0, 0, 0, 0, 132, 38162
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train5\args.yaml", "YAML", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 1, 107
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train5\weights\best.pt", "XML", 0, 0, 0, 37614, 0, 0, 0, 0, 0, 0, 0, 141, 37755
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train5\weights\last.pt", "XML", 0, 0, 0, 37773, 0, 0, 0, 0, 0, 0, 0, 146, 37919
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train6\args.yaml", "YAML", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 1, 107
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train6\weights\best.pt", "XML", 0, 0, 0, 39582, 0, 0, 0, 0, 0, 0, 0, 178, 39760
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train6\weights\last.pt", "XML", 0, 0, 0, 39202, 0, 0, 0, 0, 0, 0, 0, 174, 39376
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train\args.yaml", "YAML", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 1, 107
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train\weights\best.pt", "XML", 0, 0, 0, 38837, 0, 0, 0, 0, 0, 0, 0, 167, 39004
"c:\Users\VICTUS\Documents\OMR project\model_training\runs\detect\train\weights\last.pt", "XML", 0, 0, 0, 38837, 0, 0, 0, 0, 0, 0, 0, 167, 39004
"c:\Users\VICTUS\Documents\OMR project\model_training\train.ipynb", "JSON", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 150
"c:\Users\VICTUS\Documents\OMR project\model_training\yolo11n.pt", "XML", 0, 0, 0, 35992, 0, 0, 0, 0, 0, 0, 0, 174, 36166
"c:\Users\VICTUS\Documents\OMR project\model_training\yolov8n.pt", "XML", 0, 0, 0, 42848, 0, 0, 0, 0, 0, 0, 0, 229, 43077
"Total", "-", 49745, 80, 5, 618024, 43, 822, 848, 10, 891, 14, 268, 3133, 673883
